House_ID,Sale_Price,Story,Total_SF ,Ext_Walls,Finish_SF_Attic,Finish_SF_Basement,Num_Stall_Garage,Has_Lake_Front,Sim
437,76697,1 Story,831,Brick,0,0,1,No,0.13306
438,16315,1 Story,844,Brick,379,0,2,No,0.04403
439,63662,1 Story,850,Brick,0,0,2,No,0.62172
440,50412,2 Story,853,Brick,0,805,0,No,0.92702
441,70659,1 Story,864,Brick,0,864,1,No,0.12773
442,84175,1 Story,864,Brick,0,0,2,No,0.46458
443,87266,1 Story,864,Brick,0,300,1,No,0.07091
444,71957,1 Story,877,Brick,0,0,1,No,0.49788
445,56114,1 Story,931,Brick,289,0,0,No,0.62143
446,45290,1 Story,935,Brick,0,0,2,No,0.60419
447,70274,1 Story,936,Brick,0,295,1,No,0.3758
448,82919,1 Story,944,Brick,0,530,1,No,0.59837
449,47014,1 Story,952,Brick,336,0,1,No,0.63039
450,24988,1 Story,960,Brick,0,0,2,No,0.2843
451,86832,1 Story,976,Brick,0,0,1,No,0.31001
452,69935,1 Story,1002,Brick,0,0,1,No,0.92933
453,92119,1 Story,1016,Brick,0,750,2,No,0.2105
454,24197,1 Story,1024,Brick,0,0,0,No,0.1481
455,79355,1 Story,1044,Brick,0,0,0,No,0.37742
456,96727,1 Story,1052,Brick,445,488,2,No,0.03257
457,100691,1 Story,1056,Brick,0,576,1.5,No,0.30314
458,48682,1 Story,1063,Brick,0,0,2,No,0.44215
459,75784,1 Story,1064,Other,0,0,1,No,0.62085
460,101773,2 Story,1068,Other,0,493,1.5,No,0.85382
461,91247,1 Story,1080,Other,0,0,2,No,0.89898
462,59727,1 Story,1120,Other,0,560,2,No,0.33695
463,77267,1 Story,1128,Other,0,0,2,No,0.40546
464,77018,1 Story,1130,Other,0,0,1,No,0.83207
465,21899,1 Story,1136,Other,0,0,0,No,0.0798
466,57142,1 Story,1152,Other,0,0,2,No,0.9134
467,104972,1 Story,1175,Brick,0,0,1,No,0.93016
468,58493,1 Story,1177,Brick,0,0,1,No,0.87132
469,63283,1 Story,1180,Other,0,0,1,No,0.36025
470,85336,1 Story,1200,Other,0,0,2,No,0.94601
471,41271,1 Story,1230,Brick,0,0,1,No,0.82049
472,79137,1 Story,1255,Other,378,143,2,No,0.26332
473,68723,1 Story,1266,Other,0,460,1,No,0.97861
474,70889,1 Story,1306,Other,0,490,2,No,0.71199
475,70139,1 Story,1331,Other,0,0,2,No,0.3736
476,98152,1 Story,1332,Other,0,0,2,No,0.26143
477,79926,2 Story,1344,Other,0,0,1,No,0.76554
478,96488,1 Story,1348,Other,0,0,2,No,0.34874
479,110899,1 Story,1385,Other,0,0,2,No,0.79228
480,108751,2 Story,1399,Other,0,0,0.5,No,0.25306
481,18493,1 Story,1401,Other,0,0,1,No,0.22958
482,71723,1 Story,1404,Other,0,0,1,No,0.57933
483,96626,1 Story,1431,Brick,0,0,0,No,0.58282
484,85479,1 Story,1480,Other,0,0,2,No,0.90883
485,62945,1 Story,1496,Other,0,0,1,No,0.22406
486,57732,1 Story,1501,Other,0,0,2,No,0.53869
487,112576,1 Story,1521,Brick,0,0,2,No,0.64028
488,23685,1 Story,1541,Other,0,0,0,No,0.8067
489,72869,2 Story,1560,Other,0,0,2,No,0.0887
490,42829,1 Story,1620,Other,0,0,1,No,0.74282
491,93190,1 Story,1636,Other,0,0,1,No,0.36791
492,108008,2 Story,1680,Other,378,0,2,No,0.08181
493,71376,1 Story,1689,Other,0,0,2,No,0.84485
494,98621,1 Story,1723,Other,440,0,2,No,0.79057
495,64291,1 Story,1788,Other,0,960,2.5,No,0.83489
496,71325,1 Story,1830,Other,0,0,2,No,0.06453
497,93428,1 Story,1877,Brick,0,0,2,No,0.2951
498,25050,1 Story,1881,Other,0,0,0,No,0.89351
499,86511,1 Story,1882,Other,0,0,2,No,0.18001
500,12238,1 Story,765,Other,0,0,0,No,0.68571
501,129703,1 Story,720,Other,0,720,0.5,No,0.7797
502,5430,1 Story,738,Other,0,0,2,No,0.44454
503,34211,1 Story,768,Other,0,0,1,No,0.10481
504,58251,2 Story,775,Other,0,775,2,No,0.84085
505,43013,1 Story,780,Other,0,240,2.5,No,0.95853
506,31906,1 Story,803,Other,0,0,0,No,0.26179
507,16903,1 Story,813,Brick,0,0,0,No,0.57694
508,2716,1 Story,868,Other,0,0,1,No,0.13544
509,3542,1 Story,900,Other,0,0,0,No,0.61823
510,74455,1 Story,915,Other,412,0,1,No,0.53044
